0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
48,6.13685179502915e-05,3.772730702482457e-05,5.2456089157803584e-05,0.0015736826747341074,2.364121092546693e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
49,6.13685179502915e-05,3.7015102161681964e-05,5.148761342324863e-05,0.0015446284026974589,2.4353415788609538e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
50,6.13685179502915e-05,3.565189489821384e-05,5.0025156822653025e-05,0.0015007547046795907,2.571662305207766e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
51,6.13685179502915e-05,3.565189489821384e-05,4.959474672971432e-05,0.0014878424018914295,2.571662305207766e-05,"[22, 21, 18, 2, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 7, 1, 9, 8, 5, 6, 19, 20]",46
52,6.724045185583647e-05,3.359086328518643e-05,5.047000947074729e-05,0.0015141002841224187,3.364958857065004e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
53,6.724045185583647e-05,3.322038402763936e-05,4.7934366737092096e-05,0.0014380310021127629,3.402006782819711e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
54,6.724045185583647e-05,3.4000884022984596e-05,4.910726968649839e-05,0.0014732180905949518,3.323956783285187e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
55,6.724045185583647e-05,3.342916360232667e-05,5.057113065667933e-05,0.00151713391970038,3.38112882535098e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
56,6.724045185583647e-05,3.5491198182850654e-05,5.2709114420294873e-05,0.0015812734326088461,3.174925367298581e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
57,6.724045185583647e-05,3.0399756801945583e-05,5.470169603745315e-05,0.0016410508811235945,3.6840695053890886e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
