0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
42,6.044487427466151e-05,3.077775383952479e-05,4.1730217810450715e-05,0.0012519065343135215,2.9667120435136716e-05,"[18, 13, 16, 0, 10, 9, 5, 8, 1, 2, 3, 4, 7, 20, 22, 21, 19, 11, 12, 14, 17, 15, 6]",41
43,6.148927012236365e-05,2.8562451800862586e-05,4.420629360733239e-05,0.0013261888082199717,3.2926818321501066e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
44,6.148927012236365e-05,2.9465495904296068e-05,4.5412097928894545e-05,0.0013623629378668363,3.202377421806759e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
45,6.148927012236365e-05,3.2124385621125e-05,4.614773770629126e-05,0.0013844321311887377,2.9364884501238655e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
46,6.148927012236365e-05,3.165458516666139e-05,4.66713404178435e-05,0.001400140212535305,2.9834684955702264e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
47,6.148927012236365e-05,3.111581305619516e-05,4.535275684115969e-05,0.0013605827052347909,3.037345706616849e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
48,6.148927012236365e-05,2.9806259314456036e-05,4.642783718154198e-05,0.0013928351154462594,3.168301080790762e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
49,6.148927012236365e-05,3.0393289161753083e-05,4.7533190331416386e-05,0.0014259957099424915,3.1095980960610566e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
50,6.148927012236365e-05,3.053062221408072e-05,4.8300073661552174e-05,0.0014490022098465653,3.095864790828293e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
51,6.148927012236365e-05,3.1807627469067084e-05,4.5476271309583804e-05,0.0013642881392875142,2.968164265329657e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
52,6.148927012236365e-05,3.07607124180996e-05,4.340173728711349e-05,0.0013020521186134046,3.072855770426405e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
53,6.148927012236365e-05,3.222480020623872e-05,4.287335752149561e-05,0.0012862007256448683,2.926446991612493e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
54,6.148927012236365e-05,2.844141069397042e-05,4.4065203660802875e-05,0.0013219561098240862,3.3047859428393236e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
55,6.148927012236365e-05,3.186844705057522e-05,4.450862403234586e-05,0.0013352587209703758,2.962082307178843e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
