0,1
generations,20
cross_over_prob,0.76
mutation_prob,0.2
population_size,15
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
5,5.3424511165722836e-05,3.729395092116059e-05,4.408794608694107e-05,0.000661319191304116,1.6130560244562246e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
6,5.3424511165722836e-05,3.587701359738815e-05,4.375162305433225e-05,0.0006562743458149837,1.7547497568334685e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
7,5.3424511165722836e-05,3.959141658088527e-05,4.396677011057543e-05,0.0006595015516586314,1.383309458483757e-05,"[6, 22, 18, 17, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 15, 5, 13, 2, 0, 1, 8, 20]",2
8,5.367686527106817e-05,3.9320541050644855e-05,4.5798099441589516e-05,0.0006869714916238427,1.4356324220423312e-05,"[6, 17, 18, 1, 13, 14, 12, 20, 2, 19, 9, 11, 4, 7, 16, 0, 5, 15, 10, 8, 3, 22, 21]",8
9,5.367686527106817e-05,3.9320541050644855e-05,4.569202128964047e-05,0.000685380319344607,1.4356324220423312e-05,"[6, 17, 18, 1, 13, 14, 12, 20, 2, 19, 9, 11, 4, 7, 16, 0, 5, 15, 10, 8, 3, 22, 21]",8
10,5.367686527106817e-05,3.9320541050644855e-05,4.464393827323177e-05,0.0006696590740984765,1.4356324220423312e-05,"[6, 17, 18, 1, 13, 14, 12, 20, 2, 19, 9, 11, 4, 7, 16, 0, 5, 15, 10, 8, 3, 22, 21]",8
11,5.367686527106817e-05,3.9320541050644855e-05,4.280657244081814e-05,0.0006420985866122721,1.4356324220423312e-05,"[6, 17, 18, 1, 13, 14, 12, 20, 2, 19, 9, 11, 4, 7, 16, 0, 5, 15, 10, 8, 3, 22, 21]",8
12,5.4629882545752524e-05,4.324137334601747e-05,4.684406691468506e-05,0.0007026610037202759,1.1388509199735057e-05,"[6, 22, 18, 15, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",12
13,5.4629882545752524e-05,4.324137334601747e-05,4.5701690861433696e-05,0.0006855253629215054,1.1388509199735057e-05,"[6, 22, 18, 15, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",12
14,5.4629882545752524e-05,4.3466921672607145e-05,4.749878919736832e-05,0.0007124818379605248,1.116296087314538e-05,"[6, 22, 18, 15, 7, 14, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",12
15,5.7517542850569426e-05,4.3466921672607145e-05,4.9566053775788936e-05,0.000743490806636834,1.4050621177962281e-05,"[6, 22, 18, 15, 14, 7, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",15
16,5.7517542850569426e-05,4.3389595175077016e-05,4.8618970899153135e-05,0.000729284563487297,1.412794767549241e-05,"[6, 22, 18, 15, 14, 7, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",15
17,5.7517542850569426e-05,4.3466921672607145e-05,5.00195595920375e-05,0.0007502933938805625,1.4050621177962281e-05,"[6, 22, 18, 15, 14, 7, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",15
18,5.7517542850569426e-05,4.3466921672607145e-05,5.049527613883312e-05,0.0007574291420824967,1.4050621177962281e-05,"[6, 22, 18, 15, 14, 7, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",15
19,5.7517542850569426e-05,4.2951636457349025e-05,5.109382965437372e-05,0.0007664074448156058,1.4565906393220401e-05,"[6, 22, 18, 15, 14, 7, 3, 12, 4, 19, 9, 11, 21, 10, 16, 17, 5, 13, 2, 0, 1, 8, 20]",15

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,4.7705371624844956e-05,3.3524422541821715e-05,4.0530190005332316e-05,0.0006079528500799847,1.4180949083023241e-05,"[18, 10, 3, 15, 12, 7, 1, 17, 5, 22, 8, 19, 11, 21, 4, 20, 2, 13, 16, 6, 14, 0, 9]",0
1,4.858850395996307e-05,3.4555444210235324e-05,3.9355098796798384e-05,0.0005903264819519758,1.4033059749727748e-05,"[3, 18, 7, 5, 22, 14, 9, 17, 20, 21, 11, 0, 4, 15, 13, 8, 2, 16, 6, 19, 10, 12, 1]",1
2,4.957120904178853e-05,3.467767104761244e-05,3.9843676075416636e-05,0.0005976551411312496,1.4893537994176086e-05,"[3, 18, 7, 5, 6, 14, 9, 17, 20, 21, 11, 0, 4, 15, 13, 8, 2, 16, 22, 19, 10, 12, 1]",2
3,4.957120904178853e-05,3.67403923873907e-05,4.118988676421409e-05,0.0006178483014632113,1.283081665439783e-05,"[3, 18, 7, 5, 6, 14, 9, 17, 20, 21, 11, 0, 4, 15, 13, 8, 2, 16, 22, 19, 10, 12, 1]",2
4,4.957120904178853e-05,3.740135392901223e-05,3.957084952723173e-05,0.000593562742908476,1.2169855112776301e-05,"[3, 18, 7, 5, 6, 14, 9, 17, 20, 21, 11, 0, 4, 15, 13, 8, 2, 16, 22, 19, 10, 12, 1]",2
5,5.160491278769739e-05,3.740135392901223e-05,4.192604987505528e-05,0.0006288907481258292,1.4203558858685165e-05,"[11, 21, 3, 15, 12, 7, 1, 17, 5, 22, 8, 19, 18, 10, 4, 20, 2, 13, 16, 6, 14, 0, 9]",5
6,5.160491278769739e-05,3.941818755173637e-05,4.422666622333522e-05,0.0006633999933500283,1.2186725235961022e-05,"[11, 21, 3, 15, 12, 7, 1, 17, 5, 22, 8, 19, 18, 10, 4, 20, 2, 13, 16, 6, 14, 0, 9]",5
7,5.286529921759357e-05,3.9992001599680064e-05,4.494696509368747e-05,0.000674204476405312,1.2873297617913506e-05,"[11, 21, 3, 5, 22, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",7
8,5.286529921759357e-05,3.9992001599680064e-05,4.391384554123144e-05,0.0006587076831184715,1.2873297617913506e-05,"[11, 21, 3, 5, 22, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",7
9,5.286529921759357e-05,4.36700292589196e-05,4.571578984750664e-05,0.0006857368477125996,9.195269958673968e-06,"[11, 21, 3, 5, 22, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",7
10,5.286529921759357e-05,4.040240798351582e-05,4.640871037741841e-05,0.0006961306556612761,1.2462891234077752e-05,"[11, 21, 3, 5, 22, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",7
11,5.286529921759357e-05,3.7627934978928356e-05,4.676350142605042e-05,0.0007014525213907563,1.5237364238665213e-05,"[11, 21, 3, 5, 22, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",7
12,5.3772113781792764e-05,4.241061961915263e-05,4.739234208261584e-05,0.0007108851312392375,1.1361494162640131e-05,"[11, 21, 3, 5, 12, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",12
13,5.3772113781792764e-05,4.148861137617724e-05,4.856263729332913e-05,0.000728439559399937,1.2283502405615527e-05,"[11, 21, 3, 5, 12, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",12
14,5.3772113781792764e-05,4.148861137617724e-05,4.882431729744603e-05,0.0007323647594616904,1.2283502405615527e-05,"[11, 21, 3, 5, 12, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",12
15,5.3772113781792764e-05,4.148861137617724e-05,4.8305268378472406e-05,0.000724579025677086,1.2283502405615527e-05,"[11, 21, 3, 5, 12, 7, 1, 17, 20, 15, 8, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",12
16,5.5487737210076573e-05,4.507956543298923e-05,4.92493498454774e-05,0.000738740247682161,1.0408171777087345e-05,"[11, 21, 3, 5, 22, 8, 1, 17, 20, 15, 7, 19, 18, 10, 4, 16, 2, 13, 12, 6, 14, 0, 9]",16
17,5.8180125669071444e-05,4.148861137617724e-05,4.9369792606840486e-05,0.0007405468891026073,1.6691514292894208e-05,"[11, 21, 3, 5, 12, 8, 1, 17, 20, 15, 7, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",17
18,5.8180125669071444e-05,5.121376626037079e-05,5.018340429085518e-05,0.0007527510643628276,6.966359408700657e-06,"[11, 21, 3, 5, 12, 8, 1, 17, 20, 15, 7, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",17
